,date,name,budget,domesticgross,worldwidegross
0,5/1/2015,Avengers: Age of Ultron,"$330,600,000","$459,005,868","$1,408,218,722"
1,12/18/2015,Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,058,662,225"
2,4/27/2018,Avengers: Infinity War,"$300,000,000","$654,733,699","$1,998,033,699"
3,11/17/2017,Justice League,"$300,000,000","$229,024,295","$655,953,446"
4,11/6/2015,Spectre,"$300,000,000","$200,074,175","$879,620,923"
5,7/2/2013,The Lone Ranger,"$275,000,000","$89,302,115","$260,002,115"
6,5/6/2016,Captain America: Civil War,"$250,000,000","$408,084,349","$1,153,304,495"
7,3/25/2016,Batman v Superman: Dawn of Justice,"$250,000,000","$330,360,194","$868,160,194"
8,12/13/2013,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,366,855","$960,366,855"
9,12/17/2014,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$955,119,788"
10,4/14/2017,The Fate of the Furious,"$250,000,000","$225,764,765","$1,237,466,026"
11,5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$790,697,888"
12,6/14/2013,Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
13,6/21/2017,Transformers: The Last Knight,"$217,000,000","$130,168,683","$603,968,683"
14,6/12/2015,Jurassic World,"$215,000,000","$652,270,625","$1,671,713,208"
15,6/27/2014,Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,039,076"
16,2/16/2018,Black Panther,"$200,000,000","$699,388,067","$1,346,399,843"
17,12/16/2016,Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,050,988,488"
18,6/17/2016,Finding Dory,"$200,000,000","$486,295,561","$1,022,617,376"
19,5/3/2013,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
20,5/5/2017,Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$862,889,714"
21,6/21/2013,Monsters University,"$200,000,000","$268,488,329","$743,588,329"
22,3/8/2013,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
23,5/23/2014,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
24,5/2/2014,The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
25,6/9/2017,The Mummy,"$195,000,000","$80,101,125","$410,333,326"
26,3/1/2013,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603"
27,4/3/2015,Furious 7,"$190,000,000","$353,007,020","$1,518,722,794"
28,5/16/2013,Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
29,6/21/2013,World War Z,"$190,000,000","$202,359,711","$531,514,650"
30,5/10/2013,The Great Gatsby,"$190,000,000","$144,840,419","$351,040,419"
31,7/12/2013,Pacific Rim,"$190,000,000","$101,802,906","$411,002,906"
32,11/25/2015,The Good Dinosaur,"$187,500,000","$123,087,120","$334,350,427"
33,3/10/2017,Kong: Skull Island,"$185,000,000","$168,052,812","$561,137,727"
34,7/22/2016,Star Trek Beyond,"$185,000,000","$158,848,340","$336,398,312"
35,10/6/2017,Blade Runner 2049,"$185,000,000","$92,054,159","$259,356,836"
36,11/3/2017,Thor: Ragnarok,"$180,000,000","$315,058,289","$850,653,412"
37,5/30/2014,Maleficent,"$180,000,000","$241,407,328","$758,536,735"
38,11/18/2016,Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$803,798,342"
39,7/1/2016,The Legend of Tarzan,"$180,000,000","$126,643,061","$349,143,061"
40,7/21/2017,Valerian and the City of a Thousand Planets,"$180,000,000","$40,479,370","$215,116,144"
41,2/6/2015,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519"
42,5/27/2016,X-Men: Apocalypse,"$178,000,000","$155,442,489","$542,742,489"
43,6/6/2014,Edge of Tomorrow,"$178,000,000","$100,206,256","$370,541,256"
